04-BBS-Beams,,1 Rebar to order length = 10 meter,,,,,,
Bar Mark,Type,Quantity,Rebar Length(mm),Total Length (m),,,,
402,DB16,48,4400,213.6,,,,
404,DB16,48,7150,345.6,,,,
405,DB16,26,1600,41.6,,,,
406,DB16,26,1900,49.4,,,,
407,DB16,32,4250,136,,,,
408,DB16,2,1800,3.6,,,,
409,DB16,16,10000,160,,,,
410,DB16,10,2650,27,,,,
411,DB16,16,1650,26.4,,,,
412,DB16,16,2500,40,,,,
413,DB16,10,4650,46.5,,,,
415,DB16,10,1250,12.5,,,,
416,DB16,10,1250,12.5,,,,
417,DB16,24,4700,114,,,,
418,DB16,2,7350,14.7,,,,
419,DB16,6,7150,42.9,,,,
420,DB16,10,1650,17,,,,
421,DB16,2,1550,3.2,,,,
422,DB16,2,3250,6.6,,,,
423,DB16,24,3050,74.4,,,,
424,DB16,2,1050,2.1,,,,
425,DB16,2,1050,2.1,,,,
426,DB16,20,3650,73,,,,
427,DB16,48,3450,165.6,,,,
428,DB16,16,1300,20.8,,,,
429,DB16,16,1300,20.8,,,,
430,DB16,16,1050,17.3,,,,
431,DB16,16,1250,20.8,,,,
433,DB16,24,6950,168,,,,
434,DB16,24,4350,104.4,,,,
435,DB16,24,5800,139.2,,,,
436,DB16,24,3500,84,,,,
437,DB16,8,1800,14.4,,,,
439,DB16,14,7350,102.9,,,,2650
